term,estimate,ci_low,ci_high,p_value
movie_based_score,0.14897943114891654,0.03942047573150295,0.2585383865663301,0.007883268359930399
year,0.07554745540297716,-0.03115985191059771,0.18225476271655205,0.16448346972618386
log_budget_2020,0.41588843265528874,0.3098845788441953,0.5218922864663822,2.3341014372372015e-13
